Cell_ID,Sample,x,y,Cell_Type
mouse2_slice229-112139959471131568958004604343061780774,mouse2_slice229,-5128.03981035948,-1760.60350555927,Oligo
mouse2_slice229-112175942293731949928642750038311099901,mouse2_slice229,-5300.0956362959,-1208.8860039413,L2/3 IT
mouse2_slice229-112249435730724349656499871912872641690,mouse2_slice229,-6012.3443075344,-1087.66552571207,L4/5 IT
mouse2_slice229-112277109294552595320242093852579778110,mouse2_slice229,-5130.42681027949,-2280.06200155616,Oligo
mouse2_slice229-112658571955119721564712718588507153757,mouse2_slice229,-5729.56966030821,-628.099027708173,VLMC
mouse2_slice229-112667392394755647007566674361429928526,mouse2_slice229,-5712.13913589232,-633.741027519107,VLMC
mouse2_slice229-112705038491817669784151168197675334954,mouse2_slice229,-4983.04930851609,-1897.74750096351,L5 IT
mouse2_slice229-112785123459306869903918263802969450521,mouse2_slice229,-5069.10065563247,-1469.10117633417,L4/5 IT
mouse2_slice229-112844477605510106319686776278078606136,mouse2_slice229,-5016.80365738496,-1412.91987821683,L4/5 IT
mouse2_slice229-11285883700772568505534652663209953072,mouse2_slice229,-6562.3746342089,-995.549028798938,L4/5 IT
mouse2_slice229-11289960995548083930481214298529289690,mouse2_slice229,-4603.66430782527,-1180.35050489753,L2/3 IT
mouse2_slice229-112992522970571404297354778609602204976,mouse2_slice229,-6247.44405635819,-1261.1830021888,Pvalb
mouse2_slice229-113007135082661042034985955780241491522,mouse2_slice229,-6662.5255558528,-1042.25827723369,L4/5 IT
mouse2_slice229-113029628136626029853347192693478666485,mouse2_slice229,-6262.79680584371,-910.555925534293,L2/3 IT
mouse2_slice229-11311602493985526351572699588933129907,mouse2_slice229,-5130.20438528694,-1610.62510329373,L5 IT
mouse2_slice229-113128978461527118058779119817293885111,mouse2_slice229,-5041.20530656725,-1322.43125013635,L4/5 IT
mouse2_slice229-113159016347270521931778181719522959213,mouse2_slice229,-5088.62522997819,-2441.76990517974,Oligo
mouse2_slice229-113164569443800219719731055544055918560,mouse2_slice229,-6541.11405992135,-1975.68500505388,Oligo
mouse2_slice229-113229399615639589676928418158634018114,mouse2_slice229,-4772.57363386713,-1793.10467947014,L5 ET
mouse2_slice229-113418508987868679199119181497249606227,mouse2_slice229,-5120.66181060672,-1319.12200024724,L4/5 IT
mouse2_slice229-113473041245865812551953218018080503611,mouse2_slice229,-5685.35938008763,-1087.8825257048,Endo
